GeneName	Description	Process	Comment
MRPL49	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. Pseudogenes corresponding to this gene are found on chromosomes 5q and 8p. [provided by RefSeq, May 2011],	Translation	present in both datasets 
MRPL19	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPL36	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. A pseudogene corresponding to this gene is found on chromosome 2p. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
FARS2	This gene encodes a protein that transfers phenylalanine to its cognate tRNA. This protein localizes to the mitochondrion and plays a role in mitochondrial protein translation. Mutations in this gene can cause combined oxidative phosphorylation deficiency 14 (Alpers encephalopathy). Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016],	Translation	present in both datasets 
MRPS18C	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that belongs to the ribosomal protein S18P family. The encoded protein is one of three that has significant sequence similarity to bacterial S18 proteins. The primary sequences of the three human mitochondrial S18 proteins are no more closely related to each other than they are to the prokaryotic S18 proteins. Pseudogenes corresponding to this gene are found on chromosomes 8p, 12p, 15q, and 22q. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MARS2	This gene produces a mitochondrial methionyl-tRNA synthetase protein that is encoded by the nuclear genome and imported to the mitochondrion. This protein likely functions as a monomer and is predicted to localize to the mitochondrial matrix. Mutations in this gene are associated with the autosomal recessive neurodegenerative disease spastic ataxia-3 (SPAX3). [provided by RefSeq, Apr 2014],	Translation	present in both datasets 
GATC	similarity:Belongs to the gatC family	Translation	present in both datasets 
MRPL20	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. A pseudogene corresponding to this gene is found on chromosome 21q. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2016],	Translation	present in both datasets 
MRPS21	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that belongs to the ribosomal protein S21P family. Pseudogenes corresponding to this gene are found on chromosomes 1p, 1q, 9p, 10p, 10q, 16q, and 17q. Available sequence data analyses identified splice variants that differ in the 5&apos; UTR; both transcripts encode the same protein. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPL30	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Alternative splicing results in multiple transcript variants. Pseudogenes corresponding to this gene are found on chromosomes 6p and 12p. Read-through transcription also exists between this gene and the neighboring upstream lipoyltransferase 1 (LIPT1) gene. [provided by RefSeq, Mar 2011],	Translation	present in both datasets 
MRPS34	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014],	Translation	present in both datasets 
MRPL22	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein that belongs to the L22 ribosomal protein family. A pseudogene corresponding to this gene is found on chromosome 4q. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPL47	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. This gene is immediately adjacent to the gene for BAF complex 53 kDa subunit protein a (BAF53a), in a tail-to-tail orientation. Two transcript variants encoding different protein isoforms have been identified. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
PPA2	The protein encoded by this gene is localized to the mitochondrion, is highly similar to members of the inorganic pyrophosphatase (PPase) family, and contains the signature sequence essential for the catalytic activity of PPase. PPases catalyze the hydrolysis of pyrophosphate to inorganic phosphate, which is important for the phosphate metabolism of cells. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPL9	This is a nuclear gene encoding a protein component of the 39S subunit of the mitochondrial ribosome. Alternative splicing results in multiple transcript variants. A pseudogene of this gene is found on chromosome 8. [provided by RefSeq, Jul 2014],	Translation	present in both datasets 
WARS2	Aminoacyl-tRNA synthetases catalyze the aminoacylation of tRNA by their cognate amino acid. Because of their central role in linking amino acids with nucleotide triplets contained in tRNAs, aminoacyl-tRNA synthetases are thought to be among the first proteins that appeared in evolution. Two forms of tryptophanyl-tRNA synthetase exist, a cytoplasmic form, named WARS, and a mitochondrial form, named WARS2. This gene encodes the mitochondrial tryptophanyl-tRNA synthetase. Two alternative transcripts encoding different isoforms have been described. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MTG1	Mitochondrial GTPase. May be involved in assembly of the large ribosomal subunit (By similarity)	Translation	present in both datasets 
MRPS16	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that belongs to the ribosomal protein S16P family. The encoded protein is one of the most highly conserved ribosomal proteins between mammalian and yeast mitochondria. Three pseudogenes (located at 8q21.3, 20q13.32, 22q12-q13.1) for this gene have been described. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
SLIRP	RNA-binding protein that acts as a nuclear receptor corepressor. Probably acts by binding the SRA RNA, and repressing the SRA-mediated nuclear receptor coactivation. Binds the STR7 loop of SRA RNA. Also able to repress glucocorticoid (GR), androgen (AR), thyroid (TR) and VDR-mediated transactivation	Translation	present in both datasets 
MRPS5	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that belongs to the ribosomal protein S5P family. Pseudogenes corresponding to this gene are found on chromosomes 4q, 5q, and 18q. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPS26	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein. This gene lies adjacent to and downstream of the gonadotropin-releasing hormone precursor gene. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
BPHL	This gene encodes a member of the serine protease family of hydrolytic enzymes which contain a serine in their active site. The encoded protein may play a role in activation of the antiviral prodrug valacyclovir. Alternatively spliced transcript variants have been described.[provided by RefSeq, Jan 2009],	Translation	present in both datasets 
MRPL27	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPS10	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that belongs to the ribosomal protein S10P family. Pseudogenes corresponding to this gene are found on chromosomes 1q, 3p, and 9p. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPL37	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPL41	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein that belongs to the YmL27 ribosomal protein family. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPS6	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that belongs to the ribosomal protein S6P family. Pseudogenes corresponding to this gene are found on chromosomes 1p and 12q. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPL23	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. The gene is biallelically expressed, despite its location within a region of imprinted genes on chromosome 11. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
CCDC58	similarity:Belongs to the CCDC58 family	Translation	present in both datasets 
MTG2	Small G proteins, such as GTPBP5, act as molecular switches that play crucial roles in the regulation of fundamental cellular processes such as protein synthesis, nuclear transport, membrane trafficking, and signal transduction (Hirano et al 2006 [PubMed 17054726]).[supplied by OMIM, Mar 2008],	Translation	present in both datasets 
DARS2	The protein encoded by this gene belongs to the class-II aminoacyl-tRNA synthetase family. It is a mitochondrial enzyme that specifically aminoacylates aspartyl-tRNA. Mutations in this gene are associated with leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation (LBSL). [provided by RefSeq, Nov 2009],	Translation	present in both datasets 
MRPL51	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Pseudogenes corresponding to this gene are found on chromosomes 4p and 21q. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPL32	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein that belongs to the L32 ribosomal protein family. A pseudogene corresponding to this gene is found on chromosome Xp. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
TUFM	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	Translation	present in both datasets 
RMND1	The protein encoded by this gene belongs to the evolutionary conserved sif2 family of proteins that share the DUF155 domain in common. This protein is thought to be localized in the mitochondria and involved in mitochondrial translation. Mutations in this gene are associated with combined oxidative phosphorylation deficiency-11. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Dec 2012],	Translation	present in both datasets 
MRPS25	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein. A pseudogene corresponding to this gene is found on chromosome 4. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016],	Translation	present in both datasets 
CARS2	This gene encodes a putative member of the class I family of aminoacyl-tRNA synthetases. These enzymes play a critical role in protein biosynthesis by charging tRNAs with their cognate amino acids. This protein is encoded by the nuclear genome but is likely to be imported to the mitochondrion where it is thought to catalyze the ligation of cysteine to tRNA molecules. A splice-site mutation in this gene has been associated with a novel progressive myoclonic epilepsy disease with similar symptoms to MERRF syndrome. [provided by RefSeq, Mar 2015],	Translation	present in both datasets 
MRPS30	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that is similar to the chicken pro-apoptotic protein p52. Transcript variants using alternative promoters or polyA sites have been mentioned in the literature but the complete description of these sequences is not available. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
HSD17B10	Functions in mitochondrial tRNA maturation. Part of mitochondrial ribonuclease P, an enzyme composed of MRPP1/RG9MTD1, MRPP2/HSD17B10 and MRPP3/KIAA0391, which cleaves tRNA molecules in their 5'-ends. By interacting with intracellular amyloid-beta, it may contribute to the neuronal dysfunction associated with Alzheimer disease (AD)	Translation	present in both datasets 
NARS2	This gene encodes a putative member of the class II family of aminoacyl-tRNA synthetases. These enzymes play a critical role in protein biosynthesis by charging tRNAs with their cognate amino acids. This protein is encoded by the nuclear genome but is likely to be imported to the mitochondrion where it is thought to catalyze the ligation of asparagine to tRNA molecules. Mutations in this gene have been associated with combined oxidative phosphorylation deficiency 24 (COXPD24). [provided by RefSeq, Mar 2015],	Translation	present in both datasets 
RPUSD3	similarity:Belongs to the pseudouridine synthase rluA family	Translation	present in both datasets 
MRPL18	This nuclear gene encodes a protein component of the larger 39S subunit of mitochondrial ribosome. This protein may also aid in the import of nuclear-encoded 5S rRNA into mitochondria. Alternative splicing results in multiple transcript variants, most of which are not predicted to encode a protein. A pseudogene of this gene is found on chromosome 16. [provided by RefSeq, Jan 2016],	Translation	present in both datasets 
CHCHD1	similarity:Contains 1 CHCH domain	Translation	present in both datasets 
TRNT1	Adds and repairs the conserved 3'-CCA sequence necessary for the attachment of amino acids to the 3' terminus of tRNA molecules, using CTP and ATP as substrates	Translation	present in both datasets 
VARS2	This gene encodes a mitochondrial aminoacyl-tRNA synthetase, which catalyzes the attachment of valine to tRNA(Val) for mitochondrial translation. Mutations in this gene cause combined oxidative phosphorylation deficiency-20, and are also associated with early-onset mitochondrial encephalopathies. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Aug 2014],	Translation	present in both datasets 
MRPL54	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPL38	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
PTCD3	similarity:Belongs to the PTCD3 familysimilarity:Contains 10 PPR (pentatricopeptide) repeats	Translation	present in both datasets 
NOA1	The protein encoded by this gene is a nuclear-encoded GTPase that functions in the mitochondrion. Upon translation, this protein is imported into the nucleus and then into the nucleolus before being exported to the mitochondrion. The encoded protein is required for oxygen-dependent regulation of mitochondrial respiratory complexes and for mitochondrial protein synthesis. [provided by RefSeq, Dec 2015],	Translation	present in both datasets 
MRPL35	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. Sequence analysis identified three transcript variants. Pseudogenes corresponding to this gene are found on chromosomes 6p, 10q, and Xp. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
MRPS11	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that contains a high level of sequence similarity with ribosomal protein S11P family members. A pseudogene corresponding to this gene is found on chromosome 20. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2016],	Translation	present in both datasets 
REXO2	3'-to-5' exoribonuclease specific for small oligoribonucleotides. Active on small (primarily </=5 nucleotides in length) single-stranded RNA and DNA oligomers. May have a role for cellular nucleotide recycling	Translation	present in both datasets 
SARS2	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)	Translation	present in both datasets 
MRPL57	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a protein which belongs to an undetermined ribosomal subunit and which seems to be specific to animal mitoribosomes. Pseudogenes corresponding to this gene are found on chromosomes 1p, 1q, 3p, 5q, 8q, 14q, and Y. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
EARS2	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction: glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)	Translation	present in both datasets 
MTFMT	Formylates methionyl-tRNA in mitochondria. A single tRNA(Met) gene gives rise to both an initiator and an elongator species via an unknown mechanism (By similarity)	Translation	present in both datasets 
HARS2	Aminoacyl-tRNA synthetases are a class of enzymes that charge tRNAs with their cognate amino acids. The protein encoded by this gene is an enzyme belonging to the class II family of aminoacyl-tRNA synthetases. Functioning in the synthesis of histidyl-transfer RNA, the enzyme plays an accessory role in the regulation of protein biosynthesis. The gene is located in a head-to-head orientation with HARS on chromosome five, where the homologous genes likely share a bidirectional promoter. Mutations in this gene are associated with the pathogenesis of Perrault syndrome, which involves ovarian dysgenesis and sensorineural hearing loss. Alternative splicing results in multiple transcript variants of this gene. [provided by RefSeq, Jul 2013],	Translation	present in both datasets 
MRPL50	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a putative 39S subunit protein and belongs to the L47P ribosomal protein family. Pseudogenes corresponding to this gene are found on chromosomes 2p, 2q, 5p, and 10q. [provided by RefSeq, Jul 2008],	Translation	present in both datasets 
RARS2	This nuclear gene encodes a protein that localizes to the mitochondria, where it catalyzes the transfer of L-arginine to its cognate tRNA, an important step in translation of mitochondrially-encoded proteins. Defects in this gene are a cause of pontocerebellar hypoplasia type 6 (PCH6). Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016],	Translation	present in both datasets 
LACTB2	similarity:Belongs to the metallo-beta-lactamase superfamily. Glyoxalase II family	Translation	present in both datasets 
AURKAIP1	function:May act as a negative regulator of Aurora-A kinase, by down-regulation through proteasome-dependent degradationsubunit:Interacts with Aurora-Atissue specificity:Ubiquitously expressed and especially highly expressed in heart, skeletal muscle and testis	Translation	present in both datasets 
MRPL14	This nuclear gene encodes a protein component of the 39S subunit of the mitochondrial ribosome. A pseudogene of this gene is found on chromosome 17. [provided by RefSeq, Jan 2016],	Translation	present in both datasets 
